Progress: resolved 1, reused 0, downloaded 0, added 0
Progress: resolved 781, reused 756, downloaded 2, added 0
Progress: resolved 781, reused 756, downloaded 3, added 0
Progress: resolved 782, reused 756, downloaded 3, added 0
Progress: resolved 783, reused 758, downloaded 3, added 0
Progress: resolved 784, reused 759, downloaded 3, added 0
Progress: resolved 785, reused 759, downloaded 3, added 0
Progress: resolved 787, reused 762, downloaded 3, added 0
Progress: resolved 788, reused 762, downloaded 3, added 0
Progress: resolved 790, reused 765, downloaded 3, added 0
Progress: resolved 793, reused 768, downloaded 3, added 0
Progress: resolved 795, reused 770, downloaded 3, added 0
Progress: resolved 798, reused 773, downloaded 3, added 0
Progress: resolved 802, reused 777, downloaded 3, added 0
Progress: resolved 833, reused 808, downloaded 3, added 0
Progress: resolved 842, reused 817, downloaded 3, added 0
Progress: resolved 847, reused 822, downloaded 3, added 0
Progress: resolved 851, reused 826, downloaded 3, added 0
Progress: resolved 854, reused 829, downloaded 3, added 0
Progress: resolved 855, reused 829, downloaded 3, added 0
 WARN  GET https://registry.npmjs.org/glob error (ECONNRESET). Will retry in 10 seconds. 2 retries left.
Progress: resolved 857, reused 832, downloaded 3, added 0
Progress: resolved 858, reused 832, downloaded 3, added 0
Progress: resolved 859, reused 834, downloaded 3, added 0
Progress: resolved 862, reused 837, downloaded 3, added 0
Progress: resolved 864, reused 839, downloaded 3, added 0
Progress: resolved 866, reused 841, downloaded 3, added 0
Progress: resolved 867, reused 842, downloaded 3, added 0
Progress: resolved 868, reused 842, downloaded 3, added 0
Progress: resolved 868, reused 843, downloaded 3, added 0
Progress: resolved 869, reused 843, downloaded 3, added 0
Progress: resolved 869, reused 844, downloaded 3, added 0
Progress: resolved 870, reused 844, downloaded 3, added 0
Progress: resolved 870, reused 845, downloaded 3, added 0
Progress: resolved 871, reused 845, downloaded 3, added 0
Progress: resolved 871, reused 846, downloaded 3, added 0
Progress: resolved 872, reused 846, downloaded 3, added 0
Progress: resolved 872, reused 847, downloaded 3, added 0
Progress: resolved 873, reused 847, downloaded 3, added 0
Progress: resolved 873, reused 848, downloaded 3, added 0
Progress: resolved 874, reused 848, downloaded 3, added 0
Progress: resolved 874, reused 849, downloaded 3, added 0
Progress: resolved 875, reused 849, downloaded 3, added 0
 WARN  3 deprecated subdependencies found: @babel/plugin-proposal-class-properties@7.18.6, @babel/plugin-proposal-nullish-coalescing-operator@7.18.6, @babel/plugin-proposal-optional-chaining@7.21.0
Packages: +823
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
Progress: resolved 875, reused 850, downloaded 3, added 2
Progress: resolved 875, reused 850, downloaded 3, added 33
Progress: resolved 875, reused 850, downloaded 3, added 53
Progress: resolved 875, reused 850, downloaded 3, added 152
Progress: resolved 875, reused 850, downloaded 3, added 221
Progress: resolved 875, reused 850, downloaded 3, added 254
Progress: resolved 875, reused 850, downloaded 3, added 312
Progress: resolved 875, reused 850, downloaded 3, added 387
Progress: resolved 875, reused 850, downloaded 3, added 495
Progress: resolved 875, reused 850, downloaded 3, added 579
 ERR_PNPM_LINKING_FAILED  Error: EPERM: operation not permitted, rename 'C:\Users\jeffe\OneDrive\Documentos\Workspaces\startup-mart\mart-dl\node_modules\.pnpm\semver@7.5.4\node_modules\semver_tmp_7652' -> 'C:\Users\jeffe\OneDrive\Documentos\Workspaces\startup-mart\mart-dl\node_modules\.pnpm\semver@7.5.4\node_modules\semver'
Progress: resolved 875, reused 850, downloaded 3, added 646
Progress: resolved 875, reused 850, downloaded 3, added 678
